#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,system_id
,,0,2025-08-14T09:20:12.924804808Z,2025-08-14T10:20:12.924804808Z,2025-08-14T09:20:20Z,29.285714285714285,air_temperature,raw_sensor_data,hydro_system_01
,,0,2025-08-14T09:20:12.924804808Z,2025-08-14T10:20:12.924804808Z,2025-08-14T09:20:30Z,29.23,air_temperature,raw_sensor_data,hydro_system_01
,,0,2025-08-14T09:20:12.924804808Z,2025-08-14T10:20:12.924804808Z,2025-08-14T09:20:40Z,29.189999999999998,air_temperature,raw_sensor_data,hydro_system_01
,,0,2025-08-14T09:20:12.924804808Z,2025-08-14T10:20:12.924804808Z,2025-08-14T09:20:50Z,29.079999999999995,air_temperature,raw_sensor_data,hydro_system_01
,,0,2025-08-14T09:20:12.924804808Z,2025-08-14T10:20:12.924804808Z,2025-08-14T09:21:00Z,29.24,air_temperature,raw_sensor_data,hydro_system_01
,,0,2025-08-14T09:20:12.924804808Z,2025-08-14T10:20:12.924804808Z,2025-08-14T09:21:10Z,29.2,air_temperature,raw_sensor_data,hydro_system_01
,,0,2025-08-14T09:20:12.924804808Z,2025-08-14T10:20:12.924804808Z,2025-08-14T09:21:20Z,29.080000000000002,air_temperature,raw_sensor_data,hydro_system_01
,,0,2025-08-14T09:20:12.924804808Z,2025-08-14T10:20:12.924804808Z,2025-08-14T09:21:30Z,29.160000000000004,air_temperature,raw_sensor_data,hydro_system_01
,,0,2025-08-14T09:20:12.924804808Z,2025-08-14T10:20:12.924804808Z,2025-08-14T09:21:40Z,29.4,air_temperature,raw_sensor_data,hydro_system_01
,,0,2025-08-14T09:20:12.924804808Z,2025-08-14T10:20:12.924804808Z,2025-08-14T09:21:50Z,29.22,air_temperature,raw_sensor_data,hydro_system_01
,,0,2025-08-14T09:20:12.924804808Z,2025-08-14T10:20:12.924804808Z,2025-08-14T09:22:00Z,28.959999999999997,air_temperature,raw_sensor_data,hydro_system_01
,,0,2025-08-14T09:20:12.924804808Z,2025-08-14T10:20:12.924804808Z,2025-08-14T09:22:10Z,28.96,air_temperature,raw_sensor_data,hydro_system_01
,,0,2025-08-14T09:20:12.924804808Z,2025-08-14T10:20:12.924804808Z,2025-08-14T09:22:20Z,28.910000000000004,air_temperature,raw_sensor_data,hydro_system_01
,,0,2025-08-14T09:20:12.924804808Z,2025-08-14T10:20:12.924804808Z,2025-08-14T09:22:30Z,29,air_temperature,raw_sensor_data,hydro_system_01
,,0,2025-08-14T09:20:12.924804808Z,2025-08-14T10:20:12.924804808Z,2025-08-14T09:22:40Z,29.080000000000005,air_temperature,raw_sensor_data,hydro_system_01
,,0,2025-08-14T09:20:12.924804808Z,2025-08-14T10:20:12.924804808Z,2025-08-14T09:22:50Z,29.05,air_temperature,raw_sensor_data,hydro_system_01
,,0,2025-08-14T09:20:12.924804808Z,2025-08-14T10:20:12.924804808Z,2025-08-14T09:23:00Z,28.889999999999997,air_temperature,raw_sensor_data,hydro_system_01
,,0,2025-08-14T09:20:12.924804808Z,2025-08-14T10:20:12.924804808Z,2025-08-14T09:23:10Z,29.090000000000003,air_temperature,raw_sensor_data,hydro_system_01
,,0,2025-08-14T09:20:12.924804808Z,2025-08-14T10:20:12.924804808Z,2025-08-14T09:23:20Z,29.35,air_temperature,raw_sensor_data,hydro_system_01
